library_id	library_group
ERR1137675	core
ERR1137676	core
ERR1137677	core
ERR1137678	core
ERR1137679	core
ERR1137680	core
ERR1137681	core
ERR1137682	core
ERR1137683	core
ERR1137684	core
ERR1137685	core
ERR1137728	core
ERR1137729	core
ERR1137730	core
ERR1137731	core
ERR1137732	core
ERR1137733	core
ERR1137734	core
ERR1137735	core
ERR1137736	core
ERR1137737	core
ERR1137738	core
ERR1137739	core
ERR1137740	core
ERR1137741	core
ERR1137742	core
ERR1137743	core
ERR1137744	core
ERR1137745	core
ERR1137746	core
ERR1137747	core
ERR1137748	core
ERR1137749	core
ERR1137750	core
ERR1137751	core
ERR1137752	core
ERR1137753	core
ERR1137754	core
ERR1137755	core
ERR1137756	core
ERR1137757	core
ERR1137758	core
ERR1137759	core
ERR1137760	core
ERR1137761	core
ERR1137762	core
ERR1137763	core
ERR1137764	core
ERR1137765	core
ERR1137766	core
ERR1137767	core
ERR1137768	core
ERR1137769	core
ERR1137770	core
ERR1137771	core
ERR1137772	core
ERR1137773	core
ERR1137774	core
ERR1137775	core
ERR1137776	core
ERR1137777	core
ERR1137778	core
ERR1137779	core
ERR1137780	core
ERR1137781	core
ERR1137782	core
ERR1137783	core
ERR1137784	core
ERR1137785	core
ERR1137786	core
ERR1137787	core
ERR1137788	core
ERR1137789	core
ERR1137790	core
ERR1137791	core
ERR1137792	core
ERR1137793	core
ERR1137794	core
ERR1137795	core
ERR1137796	core
ERR1137797	core
ERR1137798	core
ERR1137799	core
ERR1137800	core
ERR1137801	core
ERR1137802	core
ERR1137803	core
ERR1137804	core
ERR1137805	core
ERR1137806	core
ERR1137807	core
ERR1137808	core
ERR1137809	core
ERR1137810	core
ERR1137811	core
ERR1137812	core
ERR1137813	core
ERR1137814	core
ERR1137815	core
ERR1137816	core
ERR1137817	core
ERR1137818	core
ERR1137819	core
ERR1137820	core
ERR1137821	core
ERR1137822	core
ERR1137823	core
ERR1137824	core
ERR1137825	core
ERR1137826	core
ERR1137827	core
ERR1137828	core
ERR1137829	core
ERR1137830	core
ERR1137831	core
ERR1137832	core
ERR1137833	core
ERR1137834	core
ERR1137835	core
ERR1137836	core
ERR1137837	core
ERR1137838	core
ERR1137839	core
ERR1137840	core
ERR1137841	core
ERR1137842	core
ERR1137843	core
ERR1137844	core
ERR1137845	core
ERR1137846	core
ERR1137847	core
ERR1137848	core
ERR1137849	core
ERR1137850	core
ERR1293497	core
ERR1293498	core
ERR1293499	core
ERR1293500	core
ERR1293501	core
ERR1293502	core
ERR1293503	core
ERR1293504	core
ERR1293505	core
ERR1293506	core
ERR1293507	core
ERR1293508	core
ERR1293509	core
ERR1293510	core
ERR1293511	core
ERR1293512	core
ERR1293513	core
ERR1293514	core
ERR1293515	core
ERR1293516	core
ERR1293517	core
ERR1293518	core
ERR1293519	core
ERR1293520	core
ERR1293521	core
ERR1293522	core
ERR1293523	core
ERR1293524	core
ERR1293525	core
ERR1293526	core
ERR1293527	core
ERR1293528	core
ERR1293529	core
ERR1293530	core
ERR1293531	core
ERR1293532	core
ERR1293533	core
ERR1293534	core
